,percentile,age,survival_rate,death_rate
105,0-5%,0,1.0,0.004781861060892512
106,0-5%,1,0.9952181389391075,0.0008353006853597522
107,0-5%,2,0.9943828382537477,0.0003227739056671508
108,0-5%,3,0.9940600643480806,0.00023903917383327755
109,0-5%,4,0.9938210251742473,0.00018611912939303643
110,0-5%,5,0.9936349060448543,0.00015699275463398887
111,0-5%,6,0.9934779132902203,0.0001448996805272218
112,0-5%,7,0.9933330136096931,0.00012595135777049293
113,0-5%,8,0.9932070622519226,0.00011281721901146291
114,0-5%,9,0.9930942450329111,0.00010623518714214519
115,0-5%,10,0.992988009845769,0.00010622382274738662
116,0-5%,11,0.9928817860230216,0.00010835809357911952
117,0-5%,12,0.9927734279294425,0.00011620225875819123
118,0-5%,13,0.9926572256706843,0.00014050108733743016
119,0-5%,14,0.9925167245833468,0.00017858660710134977
120,0-5%,15,0.9923381379762455,0.0002292684821864066
121,0-5%,16,0.9921088694940591,0.00029431854369410537
122,0-5%,17,0.991814550950365,0.0003971706190282198
123,0-5%,18,0.9914173803313368,0.0005252978476315562
124,0-5%,19,0.9908920824837052,0.0006477050641455762
125,0-5%,20,0.9902443774195596,0.0007487671947469243
126,0-5%,21,0.9894956102248127,0.0008456268448354676
127,0-5%,22,0.9886499833799772,0.0009047870558266391
128,0-5%,23,0.9877451963241506,0.0009684646872949454
129,0-5%,24,0.9867767316368556,0.0010371502649421105
130,0-5%,25,0.9857395813719135,0.0011114003157106644
131,0-5%,26,0.9846281810562029,0.0011918469432979917
132,0-5%,27,0.9834363341129049,0.0012792089697390985
133,0-5%,28,0.9821571251431658,0.0013743034498182594
134,0-5%,29,0.9807828216933475,0.001478047206900257
135,0-5%,30,0.9793047744864473,0.0015914761255797494
136,0-5%,31,0.9777132983608675,0.0017157705571911874
137,0-5%,32,0.9759975278036763,0.0018522776595742974
138,0-5%,33,0.974145250144102,0.0020025374156626974
139,0-5%,34,0.9721427127284393,0.0021683130572297538
140,0-5%,35,0.9699743996712096,0.002351626666746154
141,0-5%,36,0.9676227730044634,0.0025547642112881963
142,0-5%,37,0.9650680087931752,0.0027798966580003803
143,0-5%,38,0.9622881121351748,0.0030291126723864803
144,0-5%,39,0.9592589994627884,0.003304630299699962
145,0-5%,40,0.9559543691630884,0.0036087890612636064
146,0-5%,41,0.9523455801018248,0.003944031898740374
147,0-5%,42,0.9484015482030844,0.004312879473727715
148,0-5%,43,0.9440886687293567,0.004717895399229732
149,0-5%,44,0.939370773330127,0.005161602766853179
150,0-5%,45,0.9342091705632738,0.0056458643401886555
151,0-5%,46,0.9285633062230851,0.00617170686509716
152,0-5%,47,0.922391599357988,0.0067394800653347575
153,0-5%,48,0.9156521192926532,0.007348687857512859
154,0-5%,49,0.9083034314351404,0.007997800957261103
155,0-5%,50,0.9003056304778793,0.008684067328315281
156,0-5%,51,0.891621563149564,0.009403331241005342
157,0-5%,52,0.8822182319085586,0.010149919129460727
158,0-5%,53,0.8720683127790979,0.010917340090790484
159,0-5%,54,0.8611509726883074,0.011698385721289561
160,0-5%,55,0.8494525869670179,0.012484573120144948
161,0-5%,56,0.8369680138468729,0.01326618389500378
162,0-5%,57,0.8237018299518691,0.01403238669722473
